Performing system checks...

System check identified no issues (0 silenced).
March 29, 2015 - 12:52:12
[13/Apr/2015 16:28:23] "GET /static/css/images/bg_nav.gif HTTP/1.1" 304 0
[13/Apr/2015 16:28:23] "GET /experiance HTTP/1.1" 200 2931
[13/Apr/2015 16:28:24] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 16:28:24] "GET /media/unknown.png HTTP/1.1" 304 0
[13/Apr/2015 16:28:55] "POST /experiance HTTP/1.1" 200 11210
[13/Apr/2015 16:28:56] "GET /css/fonts/opensans-condlight.ttf HTTP/1.1" 404 2762
[13/Apr/2015 16:28:56] "GET /media/Database/BBAFaces/happy/s01.jpg.jpg HTTP/1.1" 304 0
[13/Apr/2015 16:28:56] "GET /media/Database/BBAFaces/bottomlight/s06.jpg.jpg HTTP/1.1" 304 0
[13/Apr/2015 16:28:56] "GET /media/Database/BBAFaces/glasses/s07.jpg.jpg HTTP/1.1" 304 0
[13/Apr/2015 16:28:56] "GET /media/DownLoad_green.png HTTP/1.1" 304 0
[13/Apr/2015 16:28:56] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/moy.jpg HTTP/1.1" 200 2589
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/eigenface0.jpg HTTP/1.1" 200 476
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/eigenface1.jpg HTTP/1.1" 200 3418
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/eigenface2.jpg HTTP/1.1" 200 2943
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/eigenface3.jpg HTTP/1.1" 200 4810
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/photo.jpg HTTP/1.1" 200 5036
[13/Apr/2015 16:28:58] "GET /media/tmp/zv4m3gm7g747dqjrgy9zhitpnfm2iehd/dist.png HTTP/1.1" 200 19334
